"621","寿丰本会；吉安本会；新秀本会；富里本会","","","07 7439121"
"622","池上成功长滨关山鹿野东河太麻里台东地区","","","07 7439121"
"623","北农中心所属会员","","景美区农","02 29676789"
"624","澎湖县农会","","澎湖县马公市大勇路３０号","07 7439121"
"625","台中市农会","存款类13位","台中市向上路一段９５号","04 23023560"
"627","连江县农会","","连江县马祖南竿介寿村２２０号","08 3622127"
"700","中华邮政股份有限公司","存簿类14位\n划拨类 8位","台北市金山南路二段５５号","02 23931261"
"803","联邦商业银行","存款类12位\n电子商务缴款类14位","台北市承德路一段１０５号","02 25568500"
"805","远东国际商业银行","14位","台北市敦化南路二段２０５号","02 23786868"
"806","元大商业银行","14位","台北市松山区敦化南路１段６６号","02 21736699"
"807","永丰商业银行","14位","台北市南京东路三段３６号","02 25063333"
"808","玉山商业银行","13位","台北市民生东路三段１１７号","02 27191313"
"809","万泰商业银行","12位","台北市敦化南路二段３９号","02 27011777"
"810","星展银行－原宝华银行","12位","台北市松山区南京东路五段１６１号","02 27567585"
"812","台新国际商业银行","14位","台北市中山北路二段４４号","02 25683988"
"814","大众商业银行","存放款类12位\n缴款类14位","台北市信义路５段２号３楼","02 87869888"
"815","日盛国际商业银行","14位","台北市重庆南路一段１０号","02 23889888"
"816","安泰商业银行","14位","台北市民生东路三段１５８号","02 27189999"
"822","中国信托商业银行","存、放款类12、13位亦可\n代收业务类12-14位","台北市松寿路３号","02 27222002"
"901","大里市农会","","台中县大里市新兴路１０１号","04 24062131"
"903","台北县汐止市农会","11位","台北县汐止市新台五路一段２０７号","02 26416666"
"904","台北县新庄市农会","14位","台北县新庄市中正路８０号","02 29917171"
"910","财团法人农渔会联合资讯中心","14位","桃园县芦竹乡文中路一段１０７号２Ｆ","03 3791319"
"912","冬山乡农会","","宜兰县冬山乡冬山路一段８８８号","03 9591122"
"916","草屯镇农会","","南投县草屯镇草溪路１０６１号","0492333151"
"922","台南市农会","13位","台南市成功路４３４号","06 2206623"
"928","板桥市农会电脑共用中心","13位","台北县板桥市府中路２９号","02 89656868"
"950","财金资讯股份有限公司","","台北市康宁路三段８１号","02 26319800"
"951","台北县农会附设北区农会电脑共同利用中心","14位","台北县板桥市县民大道一段２９１号８楼","02 29676789"
"952","财团法人农渔会南区资讯中心","14位","高雄县凤山市中山西路３１６号五楼","07 7439121"
"954","财团法人农渔会中区资讯中心","14位","台中县雾峰乡四德路１０号５Ｆ","04 23334800"
"961","国防部主计局同袍储蓄会","","台北市信义路二段２１３号８楼","02 23952309"
"995","关贸网路股份有限公司","14位","台北市南港区三重路１９－１３号６楼","02 26551188"
"996","财政部台北区支付处","","台北市南海路１号一楼","02 23957500"
"997","中华民国信合社联合社南区联合资讯处理中心","14位","台南市南区美南街２１号７楼","06 2912111"
"998","财团法人金融联合征信中心","","台北市重庆南路一段２号１０Ｆ","02 23813939"
"999","台北市票据交换所","","台北市南海路３号二楼","02 23922111"
